Key,Module,Translation
builds.error_title,builds,Build Not Found
builds.error_toggle,builds,Failed to toggle visibility
builds.explain_why,builds,Explain Why
builds.export_build,builds,Export Build
builds.filter_by_character,builds,Main Character
builds.filter_by_element,builds,Element Type
builds.filter_by_partner,builds,Team Partner
builds.filter_by_set,builds,Equipment Set
builds.filter_by_tag,builds,Tag
builds.filter_by_weapon,builds,Weapon
builds.filter_character,builds,Character
builds.filter_has_video,builds,Has Video Guide
builds.filter_weapon,builds,Weapon Type
builds.filters,builds,Filters
builds.guide,builds,Build Guide
builds.hide_section,builds,Hide this section
builds.hide_stats,builds,Hide Stats
builds.import_build,builds,Import Build
builds.import_error,builds,Invalid build data. Please check the JSON format.
builds.import_export,builds,Import/Export Build
builds.import_placeholder,builds,Paste your build JSON here to import...
builds.import_success,builds,Build imported successfully!
builds.latest_builds,builds,Latest Builds
builds.liked_builds,builds,Liked Builds
builds.likes,builds,likes
builds.link_copied,builds,Link copied to clipboard!
builds.loading_builds,builds,Loading builds...
builds.login_required,builds,Login required to save builds
builds.main_equipment,builds,Main Equipment
builds.make_public,builds,Make Public
builds.manage_builds,builds,Manage Builds
builds.max_2_tags,builds,Max 2
builds.max_partners_reached,builds,Maximum 10 partners reached
builds.most_liked,builds,Most Liked
builds.most_popular,builds,Most Popular
builds.my_builds,builds,My Builds
builds.no_build_specified,builds,No Build Specified
builds.no_build_specified_desc,builds,Please select a build to view.
builds.no_builds_character,builds,No builds yet
builds.no_builds_period,builds,No builds found for this time period.
builds.no_builds_yet,builds,You haven't created any builds yet
builds.no_character_selected,builds,No character in this build
builds.no_community_builds,builds,No Community Builds Yet
builds.no_description,builds,No description provided
builds.no_equipment_selected,builds,No equipment selected
builds.no_liked_builds,builds,You haven't liked any builds yet
builds.no_notes,builds,No notes provided
builds.no_results,builds,No builds found
builds.no_results_desc,builds,No builds match your current filters. Try adjusting your filters or browse popular builds below.
builds.no_weapon,builds,No weapon selected
builds.not_found,builds,Build not found or you don't have permission to view it
builds.not_found_desc,builds,The build you're looking for doesn't exist or has been removed.
builds.notes,builds,Notes
builds.nothing_recommended,builds,Nothing recommended
builds.other_recommended_partners,builds,Other Recommended Partners
builds.partner,builds,Partner
builds.partners_explanation_placeholder,builds,Explain why these characters work well with your build...
builds.popular_this_week,builds,This Week's Popular Builds
builds.preview,builds,Preview
builds.preview_note,builds,This is a preview of how your build will appear to others
builds.private,builds,Private
builds.public,builds,Public
builds.publish,builds,Publish
builds.recommended_partners_help,builds,Suggest other characters that synergize well with this build
builds.remove_alternative,builds,Remove Alternative
builds.remove_character,builds,Remove
builds.remove_to_add_more,builds,Remove a partner to add a different one
builds.reset_filters,builds,Reset Filters
builds.results_for,builds,Results for
builds.role,builds,Role
builds.save_build,builds,Save Build
builds.save_error,builds,Failed to save build. Please try again.
builds.save_requirements,builds,Build name and at least one character required
builds.save_success,builds,Build saved successfully!
builds.saving,builds,Saving...
builds.search_equipment,builds,"Search by set name, stat, or effect..."
builds.search_placeholder,builds,Search builds...
builds.search_results,builds,Search Results
builds.select_equipment,builds,Select Equipment
builds.select_partner_to_recommend,builds,Select a character to add as a recommended partner
builds.select_weapon,builds,Select Weapon
builds.selected_partners,builds,Selected
builds.set_bonuses,builds,Set Bonuses
builds.share_with_community,builds,Share your strategy with the community
builds.short_description,builds,Short Description
builds.show_stats,builds,Show Stats
builds.single_build,builds,Single Build
builds.single_char,builds,Single character
builds.single_mode,builds,Single Character
builds.skill_priority,builds,Skill Priority
builds.skill_priority_reason_placeholder,builds,Why this leveling order?
builds.skill_type_combo,builds,Combo
builds.skill_type_normal,builds,Normal
builds.skill_type_ultimate,builds,Ultimate
builds.skill_upgrade_priority,builds,Skill Upgrade Priority
builds.skills,builds,Skills
builds.solo_build,builds,Solo Build
builds.sort_by,builds,Sort By
builds.sort_latest,builds,Latest
builds.sort_popular,builds,Popular
builds.subtitle,builds,Browse and share team builds
builds.tag_boss,builds,Boss
builds.tag_early_game,builds,Early Game
builds.tag_f2p_friendly,builds,F2P-Friendly
builds.tag_farming,builds,Farming
builds.tag_help,builds,Select up to 2 tags to help players find your build
builds.tag_late_game,builds,Late Game
builds.tag_mid_game,builds,Mid Game
builds.tag_not_f2p_friendly,builds,Not F2P Friendly
builds.tags,builds,Tags
builds.team_build,builds,Team Build
builds.team_desc,builds,Create a team with up to 4 characters
builds.team_mode,builds,Team (up to 4)
builds.team_role_placeholder,builds,"Role (e.g., Main DPS, Support)"
builds.team_role_reason_placeholder,builds,Why does this character fill this role?
builds.this_month,builds,This Month
builds.this_week,builds,This Week
builds.title,builds,Community Builds
builds.try_different_filters,builds,Try adjusting your filters or search query to find more builds.
builds.unnamed,builds,Unnamed Build
builds.unpublish,builds,Unpublish
builds.untitled,builds,Untitled Build
builds.up_to_4,builds,Up to 4 characters
builds.update_build,builds,Update Build
builds.update_success,builds,Build updated successfully!
builds.video,builds,Video
builds.video_showcase,builds,Video Showcase
builds.view_character_details,builds,View Character Details
builds.view_mode,builds,View
builds.views,builds,views
builds.visibility_updated,builds,Build visibility updated
builds.watch_video,builds,Watch Video
builds.weapon,builds,Weapon
builds.weapon_bonuses,builds,Weapon Bonuses
builds.weapon_label_placeholder,builds,BiS
builds.weapon_not_found,builds,Weapon not found
builds.weapon_reason_placeholder,builds,Why did you choose this weapon?
builds.weapon_skills,builds,Weapon Skills
builds.weapons,builds,Weapons
builds.why_these_partners,builds,Why these partners?
builds.your_username,builds,Your username
builds.youtube_video,builds,YouTube Video
builds.youtube_video_hint,builds,Add a YouTube video showcasing your build
characters.all_elements,characters,All Elements
characters.all_professions,characters,All Professions
characters.all_rarities,characters,All Rarities
characters.aspd,characters,ASPD
characters.atk,characters,ATK
characters.battle_skills,characters,Battle Skills
characters.battle_tags,characters,Battle Tags
characters.breakthrough,characters,Breakthrough
characters.breakthrough_details,characters,Breakthrough Details
characters.browse_all,characters,Browse all Endfield characters
characters.def,characters,DEF
characters.department,characters,Faction
characters.discussion,characters,Character Discussion
characters.effect,characters,Effect
characters.element,characters,Element
characters.exp_items_required,characters,EXP Items
characters.experience_calculator,characters,Experience Calculator
characters.factory_skill_slot,characters,Skill Slot {slot}
characters.factory_skills,characters,Factory Skills
characters.from_level,characters,From
characters.hp,characters,HP
characters.level_1,characters,Level 1
characters.level_range,characters,Level Range
characters.level_up_requirements,characters,Level-Up Requirements
characters.materials_required,characters,Materials
characters.max_level,characters,Max Level
characters.no_factory_skills,characters,No factory skills available
characters.potential,characters,Potential
characters.potential_level,characters,Potential {level}
characters.potential_passive,characters,Potential & Passives
characters.profession,characters,Profession
characters.profile_records,characters,Profile Records
characters.rarity,characters,Rarity
characters.required_items,characters,Required Items
characters.results,characters,characters found
characters.search,characters,Search characters...
characters.skill_type_combo,characters,Combo Skill
characters.skill_type_normal,characters,Normal Skill
characters.skill_type_talent,characters,Talent
characters.skill_type_ultimate,characters,Ultimate Skill
characters.stats_progression,characters,Stats Progression
characters.talents,characters,Talents
characters.title,characters,Characters
characters.to_level,characters,To
characters.unlocks_at,characters,Unlocks at Lv.{level}
characters.voice_actors,characters,Voice Actors
characters.voice_lines,characters,Voice Lines
characters.weapon_type,characters,Weapon Type
comments.auth_required_title,comments,Authentication Required
comments.be_first,comments,Be the first to share your thoughts!
comments.cancel,comments,Cancel
comments.char_count,comments,{count} / {max}
comments.days_ago,comments,{count}d ago
comments.delete,comments,Delete
comments.deleting,comments,Deleting...
comments.edit,comments,Edit
comments.edit_placeholder,comments,Edit your comment...
comments.edited,comments,(edited)
comments.error_delete_failed,comments,Failed to delete comment. Please try again.
comments.error_empty,comments,Comment cannot be empty.
comments.error_invalid_content,comments,Your comment contains invalid characters or HTML tags. Please use plain text only.
comments.error_post_failed,comments,Failed to post comment. Please try again.
comments.error_too_long,comments,Comment is too long (max {max} characters).
comments.error_update_failed,comments,Failed to update comment. Please try again.
comments.formatting_guide,comments,Formatting
comments.hide_replies,comments,Hide {count} replies
comments.hours_ago,comments,{count}h ago
comments.join_discussion,comments,Join the discussion...
comments.just_now,comments,Just now
comments.load_more,comments,Load More Comments
comments.loading,comments,Loading comments...
comments.loading_replies,comments,Loading replies...
comments.login_link,comments,log in
comments.login_required,comments,Please {login} to post comments.
comments.mention_keyboard_hint,comments,↑↓ Navigate • Enter Select • Esc Close
comments.mention_no_users,comments,No users found
comments.mention_searching,comments,Searching users...
comments.minutes_ago,comments,{count}m ago
comments.no_comments,comments,No comments yet
comments.placeholder,comments,Share your thoughts...
comments.post_comment,comments,Post Comment
comments.post_reply,comments,Post Reply
comments.posting,comments,Posting...
comments.reply,comments,Reply
comments.reply_placeholder,comments,Write a reply...
comments.replying_to,comments,Replying to
comments.save_changes,comments,Save Changes
comments.show_replies,comments,Show {count} replies
comments.success_deleted,comments,Comment deleted successfully!
comments.success_posted,comments,Comment posted successfully!
comments.success_reply_posted,comments,Reply posted successfully!
comments.success_updated,comments,Comment updated successfully!
comments.title,comments,Comments
comments.warning_auth_required,comments,Please log in to post comments.
common.all_time,common,All Time
common.back,common,Back
common.cancel,common,Cancel
common.clear,common,Clear
common.close,common,Close
common.coming_soon,common,Coming soon...
common.confirm,common,Confirm
common.copied,common,Copied!
common.copy,common,Copy
common.copy_link,common,Copy Link
common.delete,common,Delete
common.edit,common,Edit
common.error,common,Error
common.exp_required,common,EXP Required
common.filters,common,Filters
common.frequently_asked_questions,common,Frequently Asked Questions
common.gold_cost,common,Gold Cost
common.last_updated,common,Last updated
common.latest,common,Latest
common.level,common,Level
common.loading,common,Loading...
common.no_data_yet,common,No data yet
common.no_results,common,No results found
common.optional,common,optional
common.popular,common,Popular
common.quick_navigation,common,Quick Navigation
common.related_characters,common,Related Characters
common.related_weapons,common,Related Weapons
common.reset,common,Reset
common.save,common,Save
common.saving,common,Saving...
common.search,common,Search
common.search_results,common,Search Results
common.show_less,common,Show Less
common.show_more,common,Show More
common.sort_by,common,Sort By
common.success,common,Success
common.this_month,common,This Month
common.this_week,common,This Week
common.view,common,View
custom.conveyor_merger.desc,custom,Merges up to 3 conveyor lines into 1 output. Does not require power.
custom.conveyor_merger.name,custom,Conveyor Merger
equipment.additional_stats,equipment,Additional Stats
equipment.all_parts,equipment,All Part Types
equipment.all_stages,equipment,All Stages
equipment.all_tiers,equipment,All Tiers
equipment.attr.AllDamageTakenScalar,equipment,All DMG Taken Reduction
equipment.attr.AllSkillDamageIncrease,equipment,All Skill DMG
equipment.attr.CrystAndPulseDamageIncrease,equipment,Cryo & Electric DMG
equipment.attr.FireAndNaturalDamageIncrease,equipment,Heat & Nature DMG
equipment.attr.Main,equipment,Main Attribute
equipment.attr.SpellDamageIncrease,equipment,Arts DMG
equipment.attr.Sub,equipment,Sub-Attr
equipment.base_stats,equipment,Base Stats
equipment.best_for_characters,equipment,Best For These Characters
equipment.best_sets,equipment,Best Equipment Sets
equipment.browse_all,equipment,Browse all equipment sets
equipment.community_rating,equipment,Community Rating
equipment.early_game,equipment,Early Game (Lv10-28)
equipment.equipment_details,equipment,Equipment Details
equipment.equipment_pieces,equipment,Equipment Pieces
equipment.filter_by_part,equipment,Filter by Part Type
equipment.filter_by_stage,equipment,Filter by Game Stage
equipment.filter_by_tier,equipment,Filter by Tier
equipment.game_stage,equipment,Game Stage
equipment.late_game,equipment,Late Game (Lv70)
equipment.level_requirement,equipment,Level {level} Required
equipment.loading,equipment,Loading equipment data...
equipment.main_stat,equipment,Main
equipment.mid_game,equipment,Mid Game (Lv36-50)
equipment.most_liked,equipment,Most Liked
equipment.no_set_bonus,equipment,This is a standalone item with no set bonus
equipment.no_sets_found,equipment,No equipment sets found
equipment.no_standalone_found,equipment,No standalone equipment found
equipment.no_stats,equipment,No stat data available
equipment.part_body,equipment,Body
equipment.part_edc,equipment,EDC
equipment.part_hand,equipment,Hand
equipment.part_of_set,equipment,Part of {setName}
equipment.part_type,equipment,Part Type
equipment.rate_this_set,equipment,Rate this set for your character
equipment.recommended_for,equipment,Recommended for {characterName}
equipment.related_sets,equipment,Related Sets
equipment.results,equipment,sets found
equipment.search,equipment,Search equipment sets...
equipment.select_character,equipment,Select a character...
equipment.set_bonus,equipment,{count}-Set Bonus
equipment.set_effects,equipment,Set Effects
equipment.sort_by,equipment,Sort By
equipment.sort_name,equipment,Name
equipment.sort_pieces,equipment,Total Pieces
equipment.sort_tier,equipment,Tier
equipment.standalone,equipment,Standalone Equipment
equipment.standalone_equipment,equipment,Standalone Equipment
equipment.standalone_results,equipment,items
equipment.stats,equipment,Stats
equipment.sub_stats,equipment,Sub
equipment.tier,equipment,Tier
equipment.tier_0,equipment,Tier 0
equipment.tier_1,equipment,Tier 1
equipment.tier_2,equipment,Tier 2
equipment.tier_3,equipment,Tier 3
equipment.tier_4,equipment,Tier 4
equipment.tier_pieces,equipment,Tier {tier} Pieces
equipment.title,equipment,Equipment Sets
equipment.total_pieces,equipment,{count} pieces
equipment.view_all_sets,equipment,View All Equipment Sets
equipment.view_set_details,equipment,View Set Details
essence_solver.compatible,essence_solver,Compatible
essence_solver.farm_locations,essence_solver,Farm at
essence_solver.filter_by_dungeon,essence_solver,Filter by Dungeon
essence_solver.filter_by_rarity,essence_solver,Filter by Rarity
essence_solver.matches,essence_solver,Matches
essence_solver.missing,essence_solver,Missing
essence_solver.no_results,essence_solver,No essences match the current filters
essence_solver.recommended_essences,essence_solver,Recommended Essences
essence_solver.select_weapon,essence_solver,Select a Weapon
essence_solver.stats,essence_solver,Stats
essence_solver.title,essence_solver,Weapon Essence Solver
factory.actual,factory,Actual
factory.all_items_production_overview,factory,All Items Production Overview
factory.balanced,factory,Balanced
factory.bottlenecks_detected,factory,Bottlenecks Detected
factory.browse_blueprints,factory,Browse Blueprints
factory.buffer_bottlenecks,factory,Buffer Bottlenecks
factory.buffer_capacity,factory,Capacity
factory.build,factory,Build
factory.building_count,factory,Buildings
factory.building_menu,factory,Building Menu
factory.buildings,factory,Buildings
factory.clear,factory,Clear
factory.click_product_tabs_for_details,factory,Click on product tabs above for detailed production chain analysis
factory.click_to_set,factory,Click to set
factory.community_blueprints,factory,AIC Factory Blueprints
factory.community_blueprints_subtitle,factory,Browse and share community factory blueprints
factory.configure,factory,Configure
factory.configure_output,factory,Configure Output
factory.confirm_delete_plan,factory,Are you sure you want to delete this plan?
factory.connection_graph,factory,Connection Graph
factory.consumed,factory,Consumed/min
factory.consumed_by,factory,Consumed by
factory.conveyor_connection_errors,factory,Conveyor Connection Errors
factory.conveyor_menu,factory,Conveyor Menu
factory.conveyor_saturation,factory,Conveyor Saturation
factory.conveyors,factory,Conveyors
factory.cookbook,factory,Cookbook
factory.cookbook_all_description,factory,Browse all craftable items from the game data
factory.cookbook_alternative_recipes,factory,Alternative Recipes
factory.cookbook_back_to_search,factory,Back to Search
factory.cookbook_crafted_item,factory,Crafted Item
factory.cookbook_filter_factory,factory,Show only items from current factory
factory.cookbook_filtered_description,factory,Showing only items that can be crafted with your current factory buildings
factory.cookbook_machine_required,factory,Required Machine
factory.cookbook_no_factory_items,factory,No items can be crafted with current factory buildings
factory.cookbook_no_items,factory,No craftable items found
factory.cookbook_no_recipes,factory,No recipes available for this item
factory.cookbook_production_chain,factory,Production Chain
factory.cookbook_raw_material,factory,Raw Material
factory.cookbook_select_item,factory,Select an item to view its production chain
factory.cookbook_selected_item,factory,Selected Item
factory.cookbook_show_all,factory,Show all items
factory.cookbook_theoretical_rate,factory,Theoretical Max Rate
factory.cookbook_title,factory,Recipe Cookbook
factory.copy,factory,Copy
factory.copy_to_clipboard,factory,Copy to Clipboard
factory.craft_time,factory,Craft Time
factory.create_blueprint,factory,Create Blueprint
factory.create_first,factory,Create the first blueprint
factory.create_new_save,factory,Create New Save
factory.current_file,factory,Current File
factory.current_tool,factory,Tool
factory.cycles_per_min,factory,cycles/min
factory.cycles_per_minute,factory,cycles/min
factory.deficit,factory,Deficit
factory.delete,factory,Delete
factory.delete_building,factory,Delete Building
factory.depth_level,factory,Lv {level}
factory.description,factory,Description
factory.description_placeholder,factory,Brief description...
factory.destination,factory,Destination
factory.detailed_producer_analysis,factory,Detailed Producer Analysis
factory.download_png,factory,Download PNG
factory.edit_save,factory,Edit Save
factory.efficiency,factory,Efficiency
factory.enter_save_name,factory,Enter save name...
factory.error_deleting_plan,factory,Failed to delete plan.
factory.error_loading_plan,factory,Failed to load plan.
factory.error_loading_plans,factory,Failed to load your saved plans.
factory.error_output_mismatch,factory,Output does not match destination input
factory.error_saving_plan,factory,Failed to save plan.
factory.error_updating_plan,factory,Failed to update plan.
factory.export_import,factory,Export / Import
factory.export_import_hint,factory,"Export your factory as a JSON file to share or backup, or import a previously exported file."
factory.export_json,factory,Export
factory.filter_by_building,factory,Building Type
factory.filter_by_output,factory,Output Item
factory.filter_by_stage,factory,Game Stage
factory.filter_by_tags,factory,Tags
factory.final_product,factory,Final Product
factory.final_products,factory,Final Products
factory.final_products_summary,factory,Final Products Summary
factory.fix_conveyor_error,factory,Change the recipe or reconnect the conveyor to match inputs
factory.focus,factory,Focus
factory.from_connected_recipe,factory,From connected recipe
factory.graph_view,factory,Connection Graph
factory.grid_bounds,factory,Grid Bounds
factory.grid_bounds_desc,factory,"Define the size of your factory grid (centered at 0,0). Buildings and conveyors cannot be placed outside these limits."
factory.grid_height,factory,Grid Height (cells)
factory.grid_range,factory,Grid Range
factory.grid_width,factory,Grid Width (cells)
factory.import_json,factory,Import
factory.input_buffer,factory,Input Buffer
factory.inputs,factory,Inputs
factory.item,factory,Item
factory.item_category.components,factory,Components
factory.item_category.consumables,factory,Consumables
factory.item_category.equipment,factory,Equipment
factory.item_category.featured,factory,Featured
factory.item_category.liquids,factory,Liquids
factory.item_category.other,factory,Other
factory.item_category.processed,factory,Processed Materials
factory.item_category.raw_materials,factory,Raw Materials
factory.items_in_transit,factory,In Transit
factory.live_updates,factory,Live (1s)
factory.load,factory,Load
factory.loading_items,factory,Loading items...
factory.local_saves,factory,Local
factory.login_for_online,factory,Log in to save your factories online
factory.login_required,factory,Please log in to save online.
factory.machine,factory,Machine
factory.make_private,factory,Make private
factory.make_public,factory,Make public
factory.menu.build_mode,factory,Build Mode
factory.menu.clear_grid,factory,Clear Grid
factory.menu.edit,factory,Edit
factory.menu.export_json,factory,Export JSON
factory.menu.file,factory,File
factory.menu.graph_view,factory,Graph View
factory.menu.import_json,factory,Import JSON
factory.menu.new_grid,factory,New Grid
factory.menu.pan_mode,factory,Pan Mode
factory.menu.production_stats,factory,Production Stats
factory.menu.reset_simulator,factory,Reset Simulator
factory.menu.title,factory,Menu
factory.menu.tools,factory,Tools
factory.menu.view,factory,View
factory.menu.zoom_fit,factory,Zoom to Fit
factory.merge_inputs,factory,inputs
factory.merge_mixed_items,factory,Multiple item types merging
factory.merge_preview,factory,Release to merge
factory.merge_saturated,factory,Merge saturated
factory.merge_total_rate,factory,Total rate
factory.merged_conveyor,factory,Merged Conveyor
factory.most_liked,factory,Most Liked
factory.most_popular,factory,Most Popular
factory.move,factory,Move
factory.move_building,factory,Move Building
factory.multi_producer_excess,factory,Multi-Producer Excess
factory.my_blueprints,factory,My Blueprints
factory.name_required,factory,Please enter a name for your save.
factory.net,factory,Net/min
factory.new_online_save,factory,New Online Save
factory.new_save,factory,New Save
factory.no_blueprints,factory,No blueprints yet
factory.no_file_loaded,factory,No file loaded. Create a new save or load an existing one.
factory.no_online_saves,factory,No online saves yet
factory.no_output_selected,factory,No Output Selected
factory.no_production_data,factory,No production data available. Assign recipes to buildings to see statistics.
factory.no_recipe,factory,No Recipe
factory.no_recipes_available,factory,No recipes available for this building
factory.no_recipes_produce_item,factory,No recipes found that produce this item. This item might need to be imported or created manually.
factory.no_saved_games,factory,No saved games yet
factory.not_configured,factory,Not configured
factory.notifications.auto_loaded,factory,Auto-loaded: {name}
factory.notifications.cannot_place_building,factory,Cannot place building here - position blocked by another building or conveyor
factory.notifications.cannot_place_control_point,factory,Cannot place control point here - no valid path
factory.notifications.confirm_delete,factory,"Delete save ""{name}""? This cannot be undone."
factory.notifications.confirm_import,factory,Import this factory? Any unsaved changes will be lost.
factory.notifications.confirm_load,factory,"Load ""{name}""?"
factory.notifications.confirm_load_with_current,factory,"Load ""{name}""? Any unsaved changes will be lost."
factory.notifications.conveyor_error,factory,Error recalculating conveyors. Building rotated but conveyors may need manual reconnection.
factory.notifications.created_new_save,factory,"Created new save ""{name}"""
factory.notifications.exported_json,factory,Factory exported to JSON file
factory.notifications.failed_to_delete,factory,Failed to delete save
factory.notifications.failed_to_export,factory,Failed to export factory
factory.notifications.failed_to_import,factory,Failed to import factory
factory.notifications.failed_to_load,factory,Failed to load game
factory.notifications.failed_to_read_file,factory,Failed to read file
factory.notifications.failed_to_rotate,factory,Failed to rotate building
factory.notifications.failed_to_save,factory,Failed to save game
factory.notifications.imported_json,factory,Factory imported successfully
factory.notifications.loaded,factory,"Loaded ""{name}"""
factory.notifications.new_grid_created,factory,New grid created with Sub-Automation Core
factory.notifications.output_cleared,factory,Output item cleared
factory.notifications.output_selected,factory,Output item selected: {item}
factory.notifications.please_enter_name,factory,Please enter a save name
factory.notifications.recipe_assigned,factory,Recipe assigned: {recipe}
factory.notifications.recipe_cleared,factory,Recipe cleared
factory.notifications.save_deleted,factory,Save deleted
factory.notifications.saved_as,factory,"Saved as ""{name}"""
factory.notifications.saved_to,factory,"Saved to ""{name}"""
factory.online_benefits,factory,Access your saves from any device and share with the community
factory.online_saves,factory,Online
factory.output,factory,Output
factory.output_buffer,factory,Output Buffer
factory.output_conveyors,factory,Output Conveyors
factory.output_item,factory,Output Item
factory.outputs,factory,Outputs
factory.overview,factory,Overview
factory.pan,factory,Pan
factory.per_minute,factory,per minute
factory.place_building,factory,Place Building
factory.plan_deleted,factory,Plan deleted successfully!
factory.plan_loaded,factory,Plan loaded successfully!
factory.plan_saved,factory,Plan saved successfully!
factory.plan_updated,factory,Plan updated successfully!
factory.planner.feature_buildings_desc,factory,"Access all factory buildings with detailed information, recipes, and production stats"
factory.planner.feature_buildings_title,factory,Building Library
factory.planner.feature_community_desc,factory,Browse and learn from factory layouts shared by other players (coming soon)
factory.planner.feature_community_title,factory,Community Plans
factory.planner.feature_conveyors_desc,factory,Connect buildings with intelligent conveyor routing that detects errors and suggests fixes
factory.planner.feature_conveyors_title,factory,Smart Conveyors
factory.planner.feature_grid_desc,factory,Place buildings and conveyors on a customizable grid with full pan and zoom support
factory.planner.feature_grid_title,factory,Interactive Grid
