Key,Module,EN,CN,TC,JP,KR,RU,MX,PT,FR,DE,ID,VI,TH,IT
ascension.category_exp_weapon,ascension,Weapon EXP,武器经验,武器經驗,武器経験値,무기 경험치,Опыт оружия,EXP de Arma,EXP de Arma,EXP Arme,Waffen-EXP,EXP Senjata,EXP vũ khí,EXP อาวุธ,EXP Arma
ascension.category_gold,ascension,Gold,金币,金幣,ゴールド,골드,Золото,Oro,Ouro,Or,Gold,Emas,Vàng,ทอง,Oro
ascension.category_plant,ascension,Plant Materials,植物材料,植物材料,植物素材,식물 재료,Растительные материалы,Materiales de Planta,Plantas,Matériaux Végétaux,Pflanzenmaterialien,Tanaman,Thực vật,พืช,Materiali Vegetali
ascension.category_skill_crown,ascension,Skill Crown,技能皇冠,技能皇冠,スキルクラウン,스킬 크라운,Корона навыков,Corona de Habilidad,Coroas de Habilidade,Couronne de Compétence,Fähigkeitskrone,Mahkota Skill,Vương miện kỹ năng,มงกุฎสกิล,Corona Abilità
ascension.category_skill_level,ascension,Skill Level-Up,技能升级,技能升級材料,スキルレベルアップ,스킬 레벨업,Материалы повышения навыков,Subir Nivel de Habilidad,Nível de Habilidade,Niveau de Compétence,Fähigkeitsstufe,Level Skill,Cấp kỹ năng,เลเวลสกิล,Livello Abilità
ascension.category_skill_specialize,ascension,Skill Specialization,技能专精,技能專精材料,スキル特化,스킬 특화,Материалы специализации навыков,Especialización de Habilidad,Especialização de Habilidade,Spécialisation de Compétence,Fähigkeitsspezialisierung,Spesialisasi Skill,Chuyên môn hóa kỹ năng,เชี่ยวชาญสกิล,Specializzazione Abilità
ascension.clear_all,ascension,Clear All,清除全部,清除全部,すべてクリア,모두 지우기,Очистить всё,Borrar Todo,Limpar Tudo,Tout Effacer,Alles löschen,Hapus Semua,Xóa tất cả,ล้างทั้งหมด,Cancella Tutto
ascension.deficit,ascension,Deficit,缺少,缺少,不足,부족,Дефицит,Déficit,Déficit,Déficit,Defizit,Defisit,Thiếu hụt,ขาด,Deficit
ascension.description,ascension,Plan your character and weapon upgrades. Track materials and manage your inventory.,规划你的角色和武器升级。追踪材料并管理你的库存。,規劃您的角色和武器升級。追蹤材料並管理您的庫存。,キャラクターと武器のアップグレードを計画。素材を追跡し、在庫を管理。,캐릭터와 무기 업그레이드를 계획하세요. 재료를 추적하고 인벤토리를 관리하세요.,Планируйте материалы для прокачки персонажей и оружия,Planifica las mejoras de tus personajes y armas. Rastrea materiales y administra tu inventario.,Planeje e acompanhe os materiais de ascensão dos seus personagens e armas,Planifiez vos améliorations de personnages et d'armes. Suivez les matériaux et gérez votre inventaire.,Planen Sie Ihre Charakter- und Waffen-Upgrades. Verfolgen Sie Materialien und verwalten Sie Ihr Inventar.,Rencanakan dan lacak material kenaikan karakter dan senjata Anda,Lập kế hoạch và theo dõi tài liệu cần thiết để thăng cấp nhân vật và vũ khí của bạn.,วางแผนและติดตามวัสดุที่จำเป็นในการอัปเกรดตัวละครและอาวุธของคุณ,Pianifica i potenziamenti dei tuoi personaggi e armi. Traccia i materiali e gestisci l'inventario.
ascension.farming_list,ascension,Farming List,刷取清单,刷取清單,周回リスト,파밍 목록,Список фарма,Lista de Farmeo,Lista de Coleta,Liste de Farm,Farm-Liste,Daftar Farming,Danh sách farm,รายการฟาร์ม,Lista Farming
ascension.from_level,ascension,From Level,起始等级,從等級,開始レベル,시작 레벨,С уровня,Desde Nivel,Do Nível,Du Niveau,Von Stufe,Dari Level,Từ cấp,จากเลเวล,Dal Livello
ascension.include_skills,ascension,Include Skills,包含技能,包含技能,スキルを含む,스킬 포함,Включить навыки,Incluir Habilidades,Incluir Habilidades,Inclure les Compétences,Fähigkeiten einschließen,Sertakan Skill,Bao gồm kỹ năng,รวมสกิล,Includi Abilità
ascension.inventory,ascension,Inventory,背包,背包,インベントリ,인벤토리,Инвентарь,Inventario,Inventário,Inventaire,Inventar,Inventaris,Kho đồ,คลังสิ่งของ,Inventario
ascension.inventory_hint,ascension,Use Tab or Enter to navigate between inputs,使用Tab或Enter键在输入框之间切换,使用Tab或Enter鍵在輸入框之間切換,TabまたはEnterキーで入力欄を移動,Tab 또는 Enter 키로 입력란 이동,Используйте Tab или Enter для перемещения между полями,Usa Tab o Enter para navegar entre campos,Defina as quantidades de materiais que você possui,Utilisez Tab ou Entrée pour naviguer entre les champs,"Verwenden Sie Tab oder Enter, um zwischen Feldern zu navigieren",Atur jumlah material yang Anda miliki,Thêm vật phẩm bạn đã có để xem chính xác những gì bạn cần farm,เพิ่มไอเทมที่คุณมีเพื่อดูสิ่งที่คุณต้องฟาร์ม,Usa Tab o Invio per navigare tra i campi
ascension.inventory_search,ascension,Search materials...,搜索材料...,搜尋材料...,素材を検索...,재료 검색...,Поиск материалов...,Buscar materiales...,Buscar materiais...,Rechercher des matériaux...,Materialien suchen...,Cari material...,Tìm kiếm vật phẩm...,ค้นหาไอเทม...,Cerca materiali...
ascension.inventory_title,ascension,Material Inventory,材料背包,材料背包,素材インベントリ,재료 인벤토리,Инвентарь Материалов,Inventario de Materiales,Seu Inventário,Inventaire de Matériaux,Material-Inventar,Inventaris Anda,Kho đồ của bạn,คลังของคุณ,Inventario Materiali
ascension.keep_in_inventory,ascension,Keep in Inventory,保留在背包中,保留在背包中,インベントリに保持,인벤토리에 유지,Оставить в инвентаре,Mantener en Inventario,Manter no Inventário,Garder en Inventaire,Im Inventar behalten,Simpan di Inventaris,Giữ lại trong kho,เก็บไว้ในคลัง,Mantieni nell'Inventario
ascension.level_range,ascension,Level Range,等级范围,等級範圍,レベル範囲,레벨 범위,Диапазон уровней,Rango de Nivel,Faixa de Nível,Plage de Niveau,Stufenbereich,Rentang Level,Phạm vi cấp độ,ช่วงเลเวล,Intervallo Livelli
ascension.levels,ascension,Levels,等级,等級,レベル,레벨,Уровни,Niveles,Níveis,Niveaux,Stufen,Level,Cấp độ,เลเวล,Livelli
ascension.materials_needed,ascension,Need,需要,所需材料,必要,필요,Необходимые материалы,Necesario,Materiais Necessários,Requis,Benötigt,Material Dibutuhkan,Tài liệu cần thiết,วัสดุที่ต้องการ,Necessari
ascension.materials_required,ascension,Materials Required,所需材料,所需材料,必要素材,필요 재료,Необходимые материалы,Materiales Requeridos,Materiais Necessários,Matériaux Requis,Benötigte Materialien,Material Diperlukan,Tài liệu yêu cầu,วัสดุที่จำเป็น,Materiali Richiesti
ascension.no_items,ascension,No characters or weapons added yet,尚未添加角色或武器,尚未選擇角色或武器,キャラクターまたは武器が追加されていません,캐릭터나 무기가 추가되지 않았습니다,Персонажи или оружие не выбраны,No se han agregado personajes ni armas,Nenhum item,Aucun personnage ou arme ajouté,Keine Charaktere oder Waffen hinzugefügt,Tidak ada item,Không có vật phẩm,ไม่มีไอเทม,Nessun personaggio o arma aggiunto
ascension.no_items_found,ascension,No items found,未找到物品,未找到物品,アイテムが見つかりません,아이템을 찾을 수 없습니다,Предметы не найдены,No se encontraron objetos,Nenhum item encontrado,Aucun élément trouvé,Keine Elemente gefunden,Tidak ada item ditemukan,Không tìm thấy vật phẩm,ไม่พบไอเทม,Nessun oggetto trovato
ascension.no_items_hint,ascension,Click the buttons above to start planning your upgrades,点击上方按钮开始规划你的升级,點擊上方按鈕開始規劃您的升級,上のボタンをクリックしてアップグレード計画を開始,위 버튼을 클릭하여 업그레이드 계획을 시작하세요,"Добавьте персонажей или оружие, чтобы рассчитать необходимые материалы",Haz clic en los botones de arriba para comenzar a planificar,Adicione personagens ou armas para ver os materiais necessários,Cliquez sur les boutons ci-dessus pour commencer à planifier vos améliorations,"Klicken Sie auf die Schaltflächen oben, um mit der Planung Ihrer Upgrades zu beginnen",Tambahkan karakter atau senjata untuk melihat material yang dibutuhkan,Thêm nhân vật hoặc vũ khí để xem tài liệu cần thiết,เพิ่มตัวละครหรืออาวุธเพื่อดูวัสดุที่ต้องการ,Clicca i pulsanti sopra per iniziare a pianificare i potenziamenti
ascension.no_materials,ascension,No materials needed,无需材料,不需要材料,素材不要,재료 불필요,Материалы не требуются,Sin materiales necesarios,Nenhum material necessário,Aucun matériau requis,Keine Materialien benötigt,Tidak ada material yang dibutuhkan,Không có tài liệu,ไม่มีวัสดุ,Nessun materiale necessario
ascension.no_materials_allocated,ascension,No materials allocated from inventory.,背包中没有分配任何材料。,背包中沒有分配任何材料。,インベントリから割り当てられた素材はありません。,인벤토리에서 할당된 재료가 없습니다.,Материалы из инвентаря не распределены.,No hay materiales asignados del inventario.,Nenhum material alocado,Aucun matériau alloué depuis l'inventaire.,Keine Materialien aus dem Inventar zugewiesen.,Tidak ada material dialokasikan,Không có tài liệu được phân bổ,ไม่มีวัสดุที่จัดสรร,Nessun materiale allocato dall'inventario.
ascension.owned,ascension,Have,拥有,擁有,所持,보유,В наличии,Poseído,Possuído,Possédé,Besitzt,Dimiliki,Đang sở hữu,มีอยู่,Posseduti
ascension.priority,ascension,Priority,优先级,優先級,優先度,우선순위,Приоритет,Prioridad,Prioridade,Priorité,Priorität,Prioritas,Ưu tiên,ลำดับความสำคัญ,Priorità
ascension.priority_mode,ascension,Toggle priority reordering,切换优先级排序,切換優先級排序,優先度の並び替え,우선순위 재정렬,Режим сортировки по приоритету,Alternar reordenamiento por prioridad,Modo de Prioridade,Activer le réordonnancement par priorité,Prioritäts-Neuordnung aktivieren,Mode Prioritas,Chế độ ưu tiên,โหมดลำดับความสำคัญ,Attiva riordinamento priorità
ascension.remove_and_delete,ascension,Remove & Delete,移除并删除,移除並刪除,削除して消去,삭제 및 제거,Удалить и стереть,Eliminar y Borrar,Remover e Excluir,Retirer et Supprimer,Entfernen und Löschen,Hapus dan Buang,Xóa và xóa bỏ,ลบและลบออก,Rimuovi ed Elimina
ascension.remove_confirm_message,ascension,These materials were allocated to {name}:,以下材料已分配给 {name}：,以下材料已分配給 {name}：,これらの素材は{name}に割り当てられています：,이 재료들은 {name}에 할당되어 있습니다:,Эти материалы были назначены для {name}:,Estos materiales fueron asignados a {name}:,Tem certeza que deseja remover este item do planejador?,Ces matériaux ont été alloués à {name} :,Diese Materialien wurden {name} zugewiesen:,Apakah Anda yakin ingin menghapus item ini dari perencana?,Điều này sẽ xóa nhân vật này khỏi trình lập kế hoạch của bạn.,การดำเนินการนี้จะลบตัวละครนี้ออกจากตัววางแผนของคุณ,Questi materiali erano allocati a {name}:
ascension.remove_confirm_title,ascension,Remove from Inventory?,从背包中移除？,從背包中移除？,インベントリから削除しますか？,인벤토리에서 삭제하시겠습니까?,Удалить из инвентаря?,¿Eliminar del Inventario?,Confirmar Remoção,Retirer de l'Inventaire ?,Aus Inventar entfernen?,Konfirmasi Penghapusan,Xóa nhân vật?,ลบตัวละคร?,Rimuovere dall'Inventario?
ascension.select_character,ascension,Select Character,选择角色,選擇角色,キャラクター選択,캐릭터 선택,Выбрать персонажа,Seleccionar Personaje,Selecionar Personagem,Sélectionner un Personnage,Charakter auswählen,Pilih Karakter,Chọn nhân vật,เลือกตัวละคร,Seleziona Personaggio
ascension.select_weapon,ascension,Select Weapon,选择武器,選擇武器,武器選択,무기 선택,Выбрать оружие,Seleccionar Arma,Selecionar Arma,Sélectionner une Arme,Waffe auswählen,Pilih Senjata,Chọn vũ khí,เลือกอาวุธ,Seleziona Arma
ascension.skill_from_level,ascension,,技能起始等级,技能從,スキル開始レベル,스킬 시작 레벨,Навык с,Habilidad desde nivel,Do Nível,Du Niveau de Compétence,Von Fähigkeitsstufe,Dari Level,Cấp kỹ năng từ,เลเวลสกิลจาก,Dal Livello Abilità
ascension.skill_level,ascension,Skill Level,技能等级,技能等級,スキルレベル,스킬 레벨,Уровень навыка,Nivel de Habilidad,Nível de Habilidade,Niveau de Compétence,Fähigkeitsstufe,Level Skill,Cấp kỹ năng,เลเวลสกิล,Livello Abilità
ascension.skill_to_level,ascension,,技能目标等级,技能到,スキル目標レベル,스킬 목표 레벨,Навык до,Habilidad hasta nivel,Ao Nível,Au Niveau de Compétence,Bis Fähigkeitsstufe,Ke Level,Cấp kỹ năng đến,เลเวลสกิลถึง,Al Livello Abilità
ascension.title,ascension,Ascension Planner,突破规划器,升格規劃器,昇進プランナー,돌파 플래너,Планировщик Прокачки,Planificador de Ascensión,Planejador de Ascensão,Planificateur d'Ascension,Aufstiegsplaner,Perencana Kenaikan,Trình lập kế hoạch thăng cấp,ตัววางแผนอัปเกรด,Pianificatore Ascensione
ascension.to_level,ascension,To Level,目标等级,到等級,目標レベル,목표 레벨,До уровня,Hasta Nivel,Ao Nível,Au Niveau,Bis Stufe,Ke Level,Đến cấp,ถึงเลเวล,Al Livello
ascension.total_exp,ascension,Total,总计,總計,合計,합계,Всего,Total,EXP Total,Total,Gesamt,Total EXP,Tổng EXP,EXP รวม,Totale
ascension.total_items,ascension,Total: {count} items,总计：{count} 个物品,總計：{count} 個物品,合計：{count}個,총: {count}개,Всего: {count} предметов,Total: {count} objetos,Total de Itens,Total : {count} éléments,Gesamt: {count} Elemente,Total Item,Tổng vật phẩm,ไอเทมรวม,Totale: {count} oggetti
ascension.welcome_description,ascension,Plan your character and weapon upgrades by adding them to your list. Track materials needed and monitor your progress.,将角色和武器添加到列表中规划升级。追踪所需材料并监控进度。,規劃角色和武器的升級，追蹤所需材料，並在同一個地方管理您的道具庫存。,キャラクターと武器をリストに追加してアップグレードを計画しましょう。必要な素材を追跡し、進捗を監視できます。,캐릭터와 무기를 목록에 추가하여 업그레이드를 계획하세요. 필요한 재료를 추적하고 진행 상황을 모니터링하세요.,"Планируйте прокачку персонажей и оружия, отслеживайте необходимые материалы и управляйте инвентарём в одном месте.",Planifica las mejoras de tus personajes y armas añadiéndolos a tu lista. Rastrea los materiales necesarios y monitorea tu progreso.,Adicione personagens e armas para começar a planejar seus materiais de ascensão,Planifiez vos améliorations de personnages et d'armes en les ajoutant à votre liste. Suivez les matériaux nécessaires et surveillez votre progression.,"Planen Sie Ihre Charakter- und Waffen-Upgrades, indem Sie sie zu Ihrer Liste hinzufügen. Verfolgen Sie die benötigten Materialien und überwachen Sie Ihren Fortschritt.",Tambahkan karakter dan senjata untuk mulai merencanakan material kenaikan Anda,Thêm nhân vật hoặc vũ khí để bắt đầu lập kế hoạch tài liệu thăng cấp của bạn.,เพิ่มตัวละครหรืออาวุธเพื่อเริ่มวางแผนวัสดุอัปเกรดของคุณ,Pianifica i potenziamenti di personaggi e armi aggiungendoli alla lista. Traccia i materiali necessari e monitora i progressi.
ascension.welcome_title,ascension,Welcome to the Ascension Planner,欢迎使用升级规划器,歡迎使用升格規劃器,昇進プランナーへようこそ,돌파 플래너에 오신 것을 환영합니다,Добро пожаловать в Планировщик Прокачки,Bienvenido al Planificador de Ascensión,Bem-vindo ao Planejador de Ascensão,Bienvenue dans le Planificateur d'Ascension,Willkommen beim Aufstiegsplaner,Selamat Datang di Perencana Kenaikan,Chào mừng đến Trình lập kế hoạch thăng cấp,ยินดีต้อนรับสู่ตัววางแผนอัปเกรด,Benvenuto nel Pianificatore Ascensione
auth.loading,auth,Loading...,加载中...,載入中...,読み込み中...,로딩 중...,Загрузка...,Cargando...,Carregando...,Chargement...,Laden...,Memuat...,Đang tải...,กำลังโหลด...,Caricamento...
auth.login,auth,Login,登录,登入,ログイン,로그인,Войти,Iniciar Sesión,Entrar,Connexion,Anmelden,Masuk,Đăng nhập,เข้าสู่ระบบ,Accedi
auth.login_register,auth,Login/Register,登录/注册,登入/註冊,ログイン/登録,로그인/가입,Войти/Регистрация,Iniciar Sesión/Registrarse,Entrar/Cadastrar,Connexion/Inscription,Anmelden/Registrieren,Masuk/Daftar,Đăng nhập/Đăng ký,เข้าสู่ระบบ/สมัคร,Accedi/Registrati
auth.logout,auth,Logout,登出,登出,ログアウト,로그아웃,Выйти,Cerrar Sesión,Sair,Déconnexion,Abmelden,Keluar,Đăng xuất,ออกจากระบบ,Esci
auth.pick_username,auth,Pick username,选择用户名,選擇用戶名,ユーザー名を選択,사용자 이름 선택,Выбрать имя пользователя,Elegir nombre de usuario,Escolher nome de usuário,Choisir un pseudo,Benutzername wählen,Pilih nama pengguna,Chọn tên người dùng,เลือกชื่อผู้ใช้,Scegli username
auth.setup_username,auth,Welcome! Please set up your username.,欢迎！请设置您的用户名。,歡迎！請設置您的用戶名。,ようこそ！ユーザー名を設定してください。,환영합니다! 사용자 이름을 설정하세요.,"Добро пожаловать! Пожалуйста, установите имя пользователя.",¡Bienvenido! Por favor configura tu nombre de usuario.,Configurar Nome de Usuário,Bienvenue ! Veuillez configurer votre nom d'utilisateur.,Willkommen! Bitte richten Sie Ihren Benutzernamen ein.,Atur Nama Pengguna,Thiết lập tên người dùng,ตั้งค่าชื่อผู้ใช้,Benvenuto! Imposta il tuo nome utente.
auth.signup,auth,Sign Up,注册,註冊,サインアップ,회원가입,Регистрация,Registrarse,Cadastrar,Inscription,Registrieren,Daftar,Đăng ký,สมัครสมาชิก,Registrati
auth.welcome_back,auth,"Welcome back, {username}!",欢迎回来，{username}！,歡迎回來，{username}！,お帰りなさい、{username}！,"환영합니다, {username}!","С возвращением, {username}!","¡Bienvenido de vuelta, {username}!",Bem-vindo de volta,"Bon retour, {username} !","Willkommen zurück, {username}!",Selamat Datang Kembali,Chào mừng trở lại,ยินดีต้อนรับกลับ,"Bentornato, {username}!"
buildings.sub_automation_core,buildings,Sub-Automation Core,子自动化核心,子自動化核心,サブオートメーションコア,서브 오토메이션 코어,Ядро Субавтоматизации,Núcleo de Sub-Automatización,Núcleo de Automação,Noyau de Sous-Automatisation,Sub-Automatisierungskern,Inti Otomasi,Lõi tự động hóa phụ,แกนอัตโนมัติย่อย,Nucleo Sub-Automazione
buildings.sub_automation_core.desc,buildings,Routes different items to each output port. All inputs are consumed.,将不同物品路由到每个输出端口。所有输入均被消耗。,將不同物品路由到每個輸出端口。所有輸入均被消耗。,各出力ポートに異なるアイテムをルーティングします。すべての入力は消費されます。,각 출력 포트에 다른 아이템을 라우팅합니다. 모든 입력은 소비됩니다.,Направляет разные предметы на каждый выходной порт. Все входы потребляются.,Enruta diferentes artículos a cada puerto de salida. Todas las entradas se consumen.,Controla sistemas automatizados de construção,Achemine différents objets vers chaque port de sortie. Toutes les entrées sont consommées.,Leitet verschiedene Gegenstände zu jedem Ausgangsport. Alle Eingaben werden verbraucht.,Mengontrol sistem bangunan otomatis,Một lõi bổ sung mở rộng năng lực tự động hóa.,แกนเพิ่มเติมที่ขยายความสามารถอัตโนมัติ,Instrada diversi oggetti verso ogni porta di uscita. Tutti gli input vengono consumati.
builds.add_alt_weapon,builds,Alt,替代,替代,代替,대체,Альт,Alt,Adicionar Arma Alternativa,Alt,Alt,Tambah Senjata Alternatif,Thêm vũ khí thay thế,เพิ่มอาวุธทดแทน,Alt
builds.add_alternative,builds,Add Alternative,添加备选,新增備選,代替を追加,대안 추가,Добавить альтернативу,Añadir Alternativa,Adicionar Alternativa,Ajouter Alternative,Alternative hinzufügen,Tambah Alternatif,Thêm phương án thay thế,เพิ่มทางเลือก,Aggiungi Alternativa
builds.add_character,builds,Add Character,添加角色,新增角色,キャラ追加,캐릭터 추가,Добавить Персонажа,Añadir Personaje,Adicionar Personagem,Ajouter Personnage,Charakter hinzufügen,Tambah Karakter,Thêm nhân vật,เพิ่มตัวละคร,Aggiungi Personaggio
builds.add_recommended_partner,builds,Add Recommended Partner,添加推荐队友,添加推薦隊友,おすすめパートナーを追加,추천 파트너 추가,Добавить рекомендуемого партнёра,Añadir compañero recomendado,Adicionar Parceiro Recomendado,Ajouter Partenaire Recommandé,Empfohlenen Partner hinzufügen,Tambah Partner Rekomendasi,Thêm đồng đội được đề xuất,เพิ่มคู่หูที่แนะนำ,Aggiungi Partner Consigliato
builds.all_time,builds,All Time,全部时间,全部時間,全期間,전체 기간,За всё время,Todo el Tiempo,Todos os Tempos,Tout le Temps,Gesamtzeit,Sepanjang Waktu,Tất cả thời gian,ตลอดกาล,Di Sempre
builds.alt_label_placeholder,builds,Alt,替代,替代,代替,대체,Альт,Alt,Rótulo (ex: Para iniciantes),Alt,Alt,Label (cth: Untuk pemula),"Nhãn (ví dụ: 'Ngân sách', 'F2P')","ป้ายกำกับ (เช่น 'งบประมาณ', 'F2P')",Alt
builds.alternative_label_placeholder,builds,"Label (e.g., Budget Option, Late Game)",标签 (如平民方案、后期),標籤（如：經濟選項、後期）,ラベル（例：予算案、終盤）,"라벨 (예: 저예산, 후반)","Метка (напр., Бюджетный вариант, Поздняя игра)","Etiqueta (ej., Opción Económica, Juego Tardío)",Rótulo para esta alternativa,"Libellé (ex: Option Budget, Fin de Jeu)","Label (z.B. Budget-Option, Endgame)",Label untuk alternatif ini,Nhãn cho phương án thay thế,ป้ายกำกับสำหรับทางเลือก,"Etichetta (es. Opzione Economica, Late Game)"
builds.alternative_reason_placeholder,builds,Why is this an alternative?,为什么这是备选方案？,為什麼這是備選方案？,なぜこれが代替案ですか？,왜 이것이 대안인가요?,Почему это альтернатива?,¿Por qué es esta una alternativa?,Por que esta alternativa é boa?,Pourquoi est-ce une alternative ?,Warum ist das eine Alternative?,Mengapa alternatif ini bagus?,Tại sao trang bị này là phương án thay thế tốt?,ทำไมอุปกรณ์นี้จึงเป็นทางเลือกที่ดี?,Perché questa è un'alternativa?
builds.apply_filters,builds,Apply Filters,应用筛选,套用篩選,フィルターを適用,필터 적용,Применить фильтры,Aplicar Filtros,Aplicar Filtros,Appliquer les Filtres,Filter anwenden,Terapkan Filter,Áp dụng bộ lọc,ใช้ตัวกรอง,Applica Filtri
builds.auto_saved,builds,Auto-saved,已自动保存,已自動儲存,自動保存済み,자동 저장됨,Автосохранено,Guardado automático,Salvo automaticamente,Sauvegarde automatique,Automatisch gespeichert,Tersimpan otomatis,Đã tự động lưu,บันทึกอัตโนมัติแล้ว,Salvato automaticamente
builds.back_to_character,builds,Back to Builds,返回配置列表,返回配置列表,ビルド一覧に戻る,빌드 목록으로,К списку сборок,Volver a Builds,Voltar ao Personagem,Retour aux Builds,Zurück zu Builds,Kembali ke Karakter,Quay lại nhân vật,กลับไปตัวละคร,Torna alle Build
